State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,29695,GREENWOOD CO CAPITAL PROJECTS TAX SL,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29696,OCONEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29697,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29702,BLACKSBURG,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29703,YORK CO CP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29704,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29706,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29707,LANCASTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29708,YORK CO CP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29709,CHESTERFIELD CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29710,YORK CO CP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29712,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29714,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29715,YORK CO CP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29716,FORT MILL,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29717,YORK CO CP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29718,KERSHAW CO EDUCATION CAPITAL IMPROVEMENT TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29720,VAN WYCK,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29721,LANCASTER,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29722,LANCASTER,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29724,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29726,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29727,CHESTERFIELD CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29728,CHESTERFIELD CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29729,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29730,CHESTER CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29731,ROCK HILL,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29732,YORK CO CP,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29733,ROCK HILL,0.070000,0.060000,0.000000,0.000000,0.010000,0
